iter	RMSE
0	0.4866269697
1	0.4740680049
2	0.4627081881
3	0.451362667
4	0.4413040211
5	0.4307397627
6	0.4195949376
7	0.4091093797
8	0.4003257873
9	0.3919000931
10	0.3836046631
11	0.3746147295
12	0.3665478362
13	0.3583701155
14	0.351927419
15	0.344706246
16	0.3371880832
17	0.3315323192
18	0.3256471701
19	0.3205699713
20	0.3144531669
21	0.3088145515
22	0.3036562263
23	0.2973996125
24	0.2928767336
25	0.2881748097
26	0.2830153326
27	0.2785148208
28	0.2748037192
29	0.2701376571
30	0.265411632
31	0.261355512
32	0.2574601343
33	0.2544568614
34	0.2516823303
35	0.2486268859
36	0.2457552868
37	0.2433409527
38	0.2393269216
39	0.2363103266
40	0.2330927448
41	0.229825816
42	0.2270654083
43	0.2240549764
44	0.2214975969
45	0.2186125245
46	0.2160643059
47	0.2143533441
48	0.2120432462
49	0.2098615111
50	0.2083627497
51	0.2060005112
52	0.203489398
53	0.2016301303
54	0.1998389431
55	0.1972230106
56	0.1960733799
57	0.1949646529
58	0.1933641806
59	0.1919426007
60	0.1899890068
61	0.1882439804
62	0.1872476031
63	0.1859799473
64	0.1844339882
65	0.1832277576
66	0.1815163071
67	0.1799978293
68	0.1786350519
69	0.1776942806
70	0.1765982864
71	0.1756100671
72	0.1741891595
73	0.1730683547
74	0.1718763854
75	0.170756393
76	0.1693983996
77	0.1685539008
78	0.1670165105
79	0.1658164685
80	0.1649423571
81	0.1638058337
82	0.16273395
83	0.1619060175
84	0.1609682454
85	0.1603026204
86	0.15914906
87	0.1579319112
88	0.1568940433
89	0.1559787858
90	0.1551223524
91	0.1545130947
92	0.1540954372
93	0.1530243547
94	0.1518886016
95	0.1507909372
96	0.1501369682
97	0.1495157931
98	0.1488373069
99	0.1482354442
100	0.1474614051
101	0.1467869536
102	0.1463359181
103	0.1455550045
104	0.1446144802
105	0.1438295229
106	0.1430799477
107	0.1427183247
108	0.1422488038
109	0.1415367379
110	0.1408101167
111	0.1402746627
112	0.1399093392
113	0.1392293095
114	0.1386018543
115	0.138312509
116	0.1375528493
117	0.1372118835
118	0.1366710414
119	0.1356974841
120	0.1348756916
121	0.1343767958
122	0.1336538803
123	0.1330603737
124	0.1325228006
125	0.1317236688
126	0.1311243242
127	0.1306796613
128	0.130018429
129	0.1291946369
130	0.1287891051
131	0.1283893182
132	0.1277622989
133	0.1272534021
134	0.1268798767
135	0.1264302892
136	0.1259437253
137	0.1257010843
138	0.1250960859
139	0.1247166125
140	0.1239381154
141	0.1233414952
142	0.1226584302
143	0.1222725754
144	0.1219742178
145	0.1212926131
146	0.121041768
147	0.1205900264
148	0.1202177844
149	0.1199299106
150	0.1196259815
151	0.1194174342
152	0.1190163062
