iter	Passed	Remaining
0	528	527842
1	535	267339
2	542	180384
3	549	136834
4	556	110771
5	563	93299
6	569	80849
7	576	71519
8	583	64280
9	590	58452
10	597	53694
11	604	49754
12	611	46416
13	618	43532
14	625	41066
15	632	38887
16	639	36972
17	646	35253
18	653	33720
19	660	32357
20	667	31100
21	673	29957
22	681	28940
23	688	27981
24	694	27095
25	702	26313
26	709	25558
27	716	24870
28	723	24219
29	730	23622
30	738	23095
31	748	22633
32	755	22133
33	793	22558
34	818	22555
35	829	22217
36	836	21780
37	845	21396
38	852	20994
39	859	20633
40	867	20280
41	874	19940
42	881	19609
43	888	19295
44	896	19036
45	938	19471
46	946	19181
47	953	18907
48	960	18632
49	966	18370
50	973	18118
51	980	17875
52	988	17664
53	996	17461
54	1003	17245
55	1010	17037
56	1017	16832
57	1024	16644
58	1032	16464
59	1039	16280
60	1045	16100
61	1053	15945
62	1060	15777
63	1067	15613
64	1074	15453
65	1081	15298
66	1087	15149
67	1094	15003
68	1101	14861
69	1108	14731
70	1115	14596
71	1122	14469
72	1130	14352
73	1137	14228
74	1143	14108
75	1150	13992
76	1157	13878
77	1164	13770
78	1171	13660
79	1178	13554
80	1185	13452
81	1192	13348
82	1199	13248
83	1206	13155
84	1213	13059
85	1219	12964
86	1226	12874
87	1233	12786
88	1240	12698
89	1247	12611
90	1253	12526
91	1261	12448
92	1267	12365
93	1274	12286
94	1282	12213
95	1288	12137
96	1295	12061
97	1303	11993
98	1309	11920
99	1316	11847
100	1323	11779
101	1330	11716
102	1338	11653
103	1344	11585
104	1351	11519
105	1358	11457
106	1365	11393
107	1372	11332
108	1379	11276
109	1386	11215
110	1393	11157
111	1399	11099
112	1407	11045
113	1414	10990
114	1420	10934
115	1427	10878
116	1434	10827
117	1441	10772
118	1448	10720
119	1455	10671
120	1461	10620
121	1468	10569
122	1475	10522
123	1482	10473
124	1489	10425
125	1496	10379
126	1503	10335
127	1510	10288
128	1517	10242
129	1523	10198
130	1531	10161
131	1544	10157
132	1551	10114
133	1560	10087
134	1567	10044
135	1610	10231
136	1618	10197
137	1628	10173
138	1635	10131
139	1643	10095
140	1651	10061
141	1670	10092
142	1677	10051
143	1685	10019
144	1692	9977
145	1699	9940
146	1704	9888
147	1711	9852
148	1731	9891
149	1739	9856
150	1746	9817
151	1753	9784
152	1760	9746
153	1774	9750
154	1781	9712
155	1789	9681
156	1797	9652
157	1805	9621
158	1813	9589
159	1820	9556
160	1826	9519
161	1833	9484
162	1840	9452
163	1847	9418
164	1854	9383
165	1861	9352
166	1868	9319
167	1875	9286
168	1882	9255
169	1889	9226
170	1896	9196
171	1903	9164
172	1910	9132
173	1913	9083
174	1920	9055
175	1927	9024
176	1934	8996
177	1941	8966
178	1948	8936
179	1956	8911
180	1962	8881
181	1969	8852
182	1976	8824
183	1983	8796
184	1990	8767
185	1998	8746
186	2005	8717
187	2012	8692
188	2019	8664
189	2026	8637
190	2032	8608
191	2039	8581
192	2046	8555
193	2054	8537
194	2061	8510
195	2068	8483
196	2075	8458
197	2081	8432
198	2088	8408
199	2097	8390
200	2125	8449
201	2134	8432
202	2143	8416
203	2151	8396
204	2161	8382
205	2174	8382
206	2184	8366
207	2192	8348
208	2231	8446
209	2238	8420
210	2247	8403
211	2256	8388
212	2266	8373
213	2283	8388
214	2290	8364
215	2297	8340
216	2307	8324
217	2314	8300
218	2322	8281
219	2331	8267
220	2338	8243
221	2350	8238
222	2357	8215
223	2366	8197
224	2372	8173
225	2402	8226
226	2410	8207
227	2419	8191
228	2428	8176
229	2435	8152
230	2442	8130
231	2450	8112
232	2457	8089
233	2466	8072
234	2473	8052
235	2480	8031
236	2487	8008
237	2494	7987
238	2501	7964
239	2507	7941
240	2518	7931
241	2526	7913
242	2533	7891
243	2539	7869
244	2547	7850
245	2554	7830
246	2561	7809
247	2568	7788
248	2575	7768
249	2583	7749
250	2589	7728
251	2597	7708
252	2604	7688
253	2610	7668
254	2617	7647
255	2625	7630
256	2632	7610
257	2639	7591
258	2646	7570
259	2653	7551
