iter	RMSE
0	0.464431469
1	0.455899925
2	0.449074239
3	0.44208223
4	0.4364975219
5	0.4307674732
6	0.4250958078
7	0.419147136
8	0.4136003046
9	0.4080685223
10	0.4028804608
11	0.3972127303
12	0.3925756204
13	0.3885238296
14	0.3834385317
15	0.3787250214
16	0.374395422
17	0.3708939624
18	0.3667350059
19	0.3622612648
20	0.3588471408
21	0.3553565148
22	0.3520158478
23	0.3490088872
24	0.3457817262
25	0.342297784
26	0.3391358459
27	0.3359007572
28	0.3333039376
29	0.3307197612
30	0.3281970738
31	0.3249505327
32	0.3218189743
33	0.3194286832
34	0.3176831971
35	0.315133842
36	0.3127542368
37	0.3104630436
38	0.3089271234
39	0.3067391806
40	0.3052723371
41	0.3036195225
42	0.3002402283
43	0.2986275708
44	0.2967203356
45	0.2954276463
46	0.2936451601
47	0.2913510717
48	0.2892737143
49	0.2874544705
50	0.2863544947
51	0.2852252888
52	0.2835756914
53	0.282320033
54	0.2797984638
55	0.2782482382
56	0.277462366
57	0.2739743605
58	0.2729364376
59	0.2714068598
60	0.2702346681
61	0.2689604661
62	0.2669288418
63	0.2661852581
64	0.2646188092
65	0.2619980062
66	0.2606963979
67	0.2595120453
68	0.2584701188
69	0.2571172191
70	0.254664206
71	0.2532944674
72	0.2525267429
73	0.2511781595
74	0.2499974373
75	0.2492297749
76	0.2480849746
77	0.247505808
78	0.2466591402
79	0.2458687742
80	0.2443552621
81	0.2431974853
82	0.2421270292
83	0.2409022533
84	0.2401396577
85	0.23946536
86	0.2382867335
87	0.2373314826
88	0.2360251772
89	0.2352044475
90	0.2339713233
91	0.2332695931
92	0.2324568756
93	0.2304272104
94	0.2292578815
95	0.2279304842
96	0.2265415863
97	0.225065893
98	0.2238165781
99	0.2232087679
100	0.2225269279
101	0.2213960719
102	0.2208652425
103	0.2204426718
104	0.2194465863
105	0.2180693177
106	0.2166633094
107	0.2157109135
108	0.2152125044
109	0.2140372276
110	0.213490306
111	0.2127851802
112	0.2121762891
113	0.2116926566
114	0.2111066385
115	0.2103634888
116	0.2099479943
117	0.2091197976
118	0.2084316676
119	0.2079479666
120	0.2073229922
121	0.2069181732
122	0.2058982464
123	0.2052645951
124	0.2045548742
125	0.2038641147
126	0.2026308665
127	0.2019678235
128	0.2010715234
129	0.1999894158
130	0.1995855334
131	0.1992549296
132	0.1984171251
133	0.1977754825
134	0.1974928758
135	0.1964720569
136	0.1953465738
137	0.1943717827
138	0.1937995029
139	0.1931351263
140	0.192532883
141	0.1924413687
142	0.1918989391
143	0.1911531135
144	0.1908306154
145	0.1901114568
146	0.1895092311
147	0.1885591433
148	0.187570802
149	0.186493848
150	0.185853116
151	0.1851259647
152	0.1847974428
153	0.1840207271
154	0.1831219485
155	0.182346526
156	0.181652942
157	0.1811592357
158	0.1807950127
159	0.1804030815
160	0.1797016894
161	0.178983333
162	0.1783485918
163	0.1771900015
