iter	Passed	Remaining
0	992	991239
1	1006	502155
2	1038	344988
3	1049	261441
4	1082	215485
5	1089	180452
6	1102	156461
7	1115	138280
8	1121	123487
9	1161	115022
10	1176	105752
11	1189	97908
12	1211	92015
13	1224	86269
14	1392	91431
15	1406	86479
16	1418	82047
17	1425	77751
18	1453	75038
19	1464	71774
20	1471	68616
21	1485	66052
22	1497	63609
23	1516	61654
24	1522	59376
25	1580	59206
26	1609	58002
27	1615	56093
28	1696	56789
29	1710	55291
30	1722	53838
31	1729	52313
32	1763	51672
33	1771	50321
34	1784	49213
35	1797	48136
36	1812	47177
37	1882	47646
38	1893	46661
39	1900	45602
40	1911	44716
41	1922	43860
42	1957	43569
43	1963	42670
44	1972	41855
45	1984	41157
46	1991	40377
47	2004	39748
48	2014	39106
49	2022	38428
50	2034	37864
51	2115	38562
52	2122	37918
53	2135	37405
54	2147	36903
55	2154	36312
56	2187	36187
57	2200	35731
58	2211	35265
59	2218	34763
60	2231	34345
61	2282	34535
62	2295	34136
63	2301	33658
64	2313	33282
65	2328	32948
66	2393	33331
67	2400	32894
68	2412	32550
69	2425	32226
70	2432	31822
71	2496	32171
72	2508	31854
73	2519	31530
74	2527	31167
75	2561	31147
76	2575	30873
77	2587	30587
78	2594	30243
79	2606	29973
80	2669	30290
81	2676	29961
82	2688	29703
83	2700	29447
84	2706	29137
85	2788	29631
86	2800	29388
87	2806	29087
88	2820	28874
89	2833	28647
90	2900	28976
91	2913	28757
92	2919	28477
93	2932	28267
94	2944	28050
95	3063	28849
96	3080	28674
97	3096	28500
98	3113	28337
99	3130	28178
100	3296	29343
101	3309	29133
102	3320	28916
103	3327	28670
104	3422	29168
105	3429	28924
106	3436	28676
107	3442	28433
108	3449	28193
109	3478	28144
110	3485	27911
111	3492	27688
112	3499	27465
113	3511	27290
114	3648	28079
115	3655	27855
116	3668	27686
117	3682	27527
118	3753	27787
119	3766	27619
120	3780	27461
121	3786	27253
122	3793	27050
123	3858	27259
124	3870	27094
125	3882	26927
126	3889	26735
127	3905	26603
128	3967	26785
129	3986	26675
130	4002	26550
131	4031	26510
132	4098	26716
133	4110	26563
134	4118	26387
135	4131	26246
136	4142	26092
137	4229	26417
138	4241	26272
139	4247	26094
140	4260	25955
141	4262	25756
142	4293	25731
143	4304	25590
144	4312	25426
145	4326	25304
146	4336	25164
147	4426	25483
148	4440	25359
149	4453	25234
150	4459	25075
151	4474	24964
152	4575	25327
153	4588	25206
154	4618	25176
155	4624	25021
156	4638	24906
157	4724	25177
158	4737	25057
159	4752	24951
160	4766	24836
161	4772	24686
162	4870	25007
163	4883	24895
164	4896	24780
165	4904	24640
166	4966	24772
167	4978	24656
168	4995	24561
169	5001	24418
170	5014	24310
171	5094	24524
172	5111	24433
173	5123	24322
174	5131	24190
175	5145	24091
176	5194	24154
177	5209	24055
178	5221	23948
179	5228	23819
180	5241	23715
181	5307	23855
182	5323	23767
183	5330	23637
184	5336	23511
185	5419	23718
186	5435	23631
187	5448	23534
188	5463	23443
189	5475	23342
190	5530	23424
191	5546	23341
192	5561	23255
193	5576	23168
194	5589	23073
195	5595	22952
196	5627	22938
197	5639	22843
198	5654	22758
199	5660	22641
200	5673	22553
201	5726	22624
202	5741	22543
203	5755	22458
204	5771	22383
205	6039	23278
206	6052	23185
207	6058	23069
208	6072	22981
209	6102	22956
210	6174	23087
211	6190	23010
212	6204	22925
213	6220	22845
214	6234	22763
215	6304	22882
216	6317	22794
217	6330	22709
218	6337	22600
219	6448	22862
220	6460	22771
221	6466	22661
222	6478	22573
223	6493	22495
224	6500	22390
225	6576	22524
226	6584	22421
227	6591	22319
228	6604	22235
229	6637	22220
230	6649	22135
231	6656	22035
232	6669	21955
233	6676	21854
234	6695	21795
235	6708	21717
236	6714	21617
237	6727	21539
238	6777	21581
239	6791	21507
240	6803	21425
241	6876	21537
242	6890	21465
243	6901	21384
244	6909	21291
245	6921	21214
246	6976	21267
247	6989	21192
248	7001	21116
249	7007	21023
250	7020	20948
251	7108	21101
252	7116	21011
253	7128	20935
254	7144	20873
255	7150	20782
256	7163	20710
257	7177	20643
258	7184	20555
259	7198	20487
260	7204	20399
261	7217	20330
262	7228	20256
263	7235	20172
264	7249	20106
265	7259	20032
266	7267	19952
267	7281	19888
268	7296	19827
269	7302	19744
270	7315	19678
271	7327	19613
272	7334	19531
273	7363	19511
274	7376	19446
275	7382	19365
276	7395	19302
277	7429	19294
278	7440	19229
279	7448	19152
280	7461	19093
281	7473	19028
282	7480	18951
283	7510	18933
284	7523	18875
285	7535	18811
286	7542	18738
287	7556	18681
288	7570	18624
289	7576	18550
290	7589	18490
291	7599	18426
292	7608	18359
293	7657	18387
294	7671	18334
295	7686	18280
296	7697	18219
297	7708	18158
298	7716	18090
299	7728	18032
300	7734	17962
301	7741	17891
302	7757	17845
303	7771	17792
304	7783	17735
305	7789	17666
306	7802	17613
307	7815	17559
308	7821	17491
309	7863	17503
310	7877	17451
311	7884	17386
312	7896	17331
313	7902	17265
314	8017	17433
315	8032	17386
316	8044	17331
317	8051	17267
318	8063	17214
319	8096	17206
320	8107	17150
321	8114	17085
322	8126	17033
323	8140	16984
324	8160	16949
325	8175	16903
326	8205	16887
327	8211	16823
328	8225	16775
329	8240	16729
330	8253	16681
331	8259	16618
332	8271	16568
333	8277	16506
334	8285	16446
335	8333	16469
336	8348	16424
337	8360	16374
338	8367	16314
339	8429	16363
340	8547	16519
341	8560	16469
342	8566	16408
343	8578	16359
344	8590	16309
345	8649	16348
346	8657	16292
347	8671	16247
348	8685	16201
349	8692	16143
350	8739	16159
351	8752	16112
352	8758	16053
353	8771	16007
354	8820	16025
355	8832	15977
356	8839	15920
357	8852	15874
358	8864	15827
359	8900	15823
360	8915	15781
361	8921	15724
362	8930	15671
363	8996	15718
364	9009	15674
365	9016	15618
366	9022	15562
367	9055	15551
368	9188	15712
369	9199	15664
370	9211	15618
371	9219	15563
372	9230	15515
373	9302	15569
374	9317	15528
375	9329	15482
376	9336	15428
377	9348	15382
378	9401	15404
379	9412	15357
380	9424	15311
381	9431	15258
382	9447	15219
383	9495	15232
384	9508	15188
385	9515	15136
386	9530	15096
387	9546	15057
388	9587	15059
389	9594	15006
390	9605	14961
391	9612	14909
392	9618	14856
393	9625	14803
394	9631	14751
395	9641	14705
396	9653	14662
397	9667	14623
398	9680	14581
399	9687	14531
400	9701	14492
401	9752	14507
402	9766	14468
403	9781	14430
404	9794	14388
405	9800	14338
406	9824	14314
407	9832	14267
408	9863	14252
409	9877	14214
410	9895	14181
411	9910	14143
412	9921	14101
413	9928	14052
414	9940	14012
415	10060	14122
416	10076	14088
417	10090	14049
418	10103	14009
419	10111	13963
420	10117	13914
421	10130	13875
422	10145	13839
423	10152	13791
424	10166	13755
425	10182	13720
426	10197	13684
427	10213	13649
428	10246	13637
429	10275	13621
430	10282	13574
431	10297	13539
432	10337	13536
433	10344	13490
434	10360	13456
435	10371	13416
436	10379	13372
437	10442	13398
438	10456	13362
439	10467	13322
440	10475	13278
441	10490	13243
442	10502	13204
443	10508	13159
444	10522	13122
445	10541	13094
446	10553	13056
447	10564	13016
448	10571	12972
449	10585	12938
450	10649	12963
451	10664	12929
452	10670	12885
453	10683	12848
454	10698	12814
455	10726	12796
456	10734	12754
457	10746	12717
458	10759	12681
459	10765	12637
460	10789	12615
461	10797	12573
462	10813	12541
463	10825	12505
464	10831	12462
465	10844	12426
466	10857	12392
467	10906	12398
468	10923	12368
469	10936	12332
470	10951	12299
471	10957	12257
472	11007	12264
473	11022	12231
474	11036	12198
475	11052	12166
476	11118	12191
477	11132	12157
478	11144	12121
479	11184	12116
480	11253	12142
481	11266	12107
482	11283	12077
483	11296	12043
484	11302	12001
485	11327	11980
486	11339	11945
487	11346	11904
488	11353	11863
489	11366	11830
490	11385	11803
491	11400	11771
492	11409	11733
493	11417	11694
494	11429	11660
495	11442	11626
496	11449	11587
497	11462	11554
498	11474	11520
499	11482	11482
500	11499	11453
501	11512	11420
502	11524	11387
503	11530	11347
504	11548	11319
505	11580	11305
506	11696	11373
507	11761	11391
508	11780	11363
509	11992	11522
510	12007	11490
511	12017	11454
512	12027	11417
513	12092	11434
514	12141	11434
515	12175	11420
516	12223	11419
517	12324	11467
518	12380	11474
519	12395	11442
520	12403	11403
521	12418	11371
522	12472	11375
523	12500	11355
524	12509	11318
525	12538	11298
526	12545	11259
527	12646	11304
528	12691	11299
529	12745	11302
530	12772	11281
531	12779	11242
532	12788	11204
533	12836	11202
534	12851	11169
535	12867	11138
536	12882	11107
537	12901	11078
538	12932	11060
539	12967	11046
540	12996	11026
541	13264	11208
542	13279	11175
543	13297	11146
544	13312	11113
545	13326	11081
546	13409	11105
547	13424	11072
548	13438	11039
549	13445	11000
550	13460	10969
551	13607	11044
552	13621	11010
553	13635	10977
554	13643	10939
555	13667	10913
556	13685	10884
557	13691	10845
558	13706	10813
559	13719	10779
560	13766	10772
561	13773	10734
562	13787	10701
563	13800	10668
564	13814	10636
565	13866	10632
566	13880	10600
567	13887	10561
568	13903	10531
569	13917	10499
570	13968	10494
571	13984	10463
572	13998	10431
573	14015	10401
574	14028	10369
575	14067	10355
576	14084	10325
577	14100	10294
578	14180	10311
579	14195	10279
580	14232	10264
581	14242	10228
582	14258	10198
583	14286	10176
584	14308	10150
585	14321	10118
586	14329	10081
587	14345	10051
588	14362	10021
589	14455	10045
590	14470	10014
591	14579	10048
592	14599	10020
593	14683	10035
594	14697	10004
595	14712	9973
596	14784	9980
597	14805	9952
598	14866	9952
599	14880	9920
600	14894	9888
601	14925	9867
602	14982	9863
603	14991	9828
604	14998	9792
605	15004	9755
606	15012	9719
607	15059	9709
608	15075	9678
609	15087	9646
610	15121	9626
611	15131	9593
612	15138	9557
613	15170	9537
614	15240	9540
615	15256	9510
616	15272	9480
